homeOdd,drawOdd,awayOdd,result,date,league,homeTeam,awayTeam,homeGoals,awayGoals
2.86,3.37,3.22,2,2013-04-19,FRA Ligue 1,Barcelona,Real Madrid,3,4
3.19,3.06,3.47,1,2012-06-05,GER Bundesliga,Bayern,Juventus,3,1
1.7,2.85,5.14,1,2024-09-25,ITA Serie A,Real Madrid,Manchester City,3,1
3.27,3.57,2.02,1,2022-07-18,GER Bundesliga,Chelsea,Manchester City,4,3
4.95,5.49,4.67,2,2018-12-02,SPA LaLiga,Liverpool,Bayern,1,2
2.93,4.09,2.29,2,2022-05-21,ENG PL,Juventus,Bayern,1,3
4.32,3.76,4.37,1,2011-12-14,GER Bundesliga,Barcelona,Liverpool,1,0
2.36,5.34,4.45,1,2014-09-07,ENG PL,Real Madrid,Liverpool,5,1
4.47,4.76,3.58,2,2013-05-29,GER Bundesliga,Chelsea,PSG,1,3
2.74,5.17,4.7,2,2019-12-28,ENG PL,Real Madrid,Milan,2,4
2.57,2.59,2.47,2,2019-03-24,ENG PL,Liverpool,Real Madrid,2,4
4.44,5.26,2.36,1,2024-08-03,GER Bundesliga,Real Madrid,Chelsea,5,0
2.85,2.92,5.58,1,2018-11-17,FRA Ligue 1,Barcelona,PSG,4,2
3.86,3.55,5.49,2,2022-09-21,ENG PL,PSG,Manchester City,1,2
2.85,4.25,4.62,2,2016-01-20,ENG PL,Real Madrid,Manchester City,1,5
2.73,3.56,4.81,1,2022-08-25,FRA Ligue 1,PSG,Real Madrid,3,0
2.94,2.51,5.18,2,2018-12-24,GER Bundesliga,Milan,Inter,3,4
1.81,2.91,5.93,2,2022-08-11,ITA Serie A,Milan,Inter,1,4
4.24,4.54,4.28,1,2017-11-02,SPA LaLiga,Juventus,Barcelona,2,1
3.56,2.9,4.71,2,2023-10-12,FRA Ligue 1,Liverpool,Inter,3,4
4.58,5.19,4.12,2,2016-08-25,SPA LaLiga,PSG,Liverpool,2,3
3.3,2.9,5.03,2,2015-03-04,ITA Serie A,Manchester City,Barcelona,1,2
4.07,4.79,5.87,2,2019-08-23,FRA Ligue 1,Inter,Chelsea,2,4
2.65,4.99,1.72,2,2019-02-07,ITA Serie A,Juventus,Milan,0,1
2.96,2.92,4.21,1,2014-03-23,ITA Serie A,Inter,Real Madrid,2,1
2.74,5.08,1.56,2,2024-05-16,ITA Serie A,Juventus,Manchester City,1,5
3.97,5.27,4.28,1,2018-10-15,GER Bundesliga,Juventus,Real Madrid,5,4
3.26,2.91,3.12,2,2018-01-31,ENG PL,Juventus,Real Madrid,1,5
1.52,2.96,3.06,1,2017-08-30,ENG PL,Liverpool,Barcelona,1,0
2.66,5.11,3.85,2,2023-06-29,ENG PL,Barcelona,Manchester City,0,2
2.64,4.11,2.54,1,2021-09-11,ENG PL,Liverpool,Manchester City,5,0
1.31,4.74,5.55,1,2014-08-19,ITA Serie A,Bayern,PSG,5,3
2.88,2.69,3.72,2,2023-11-11,GER Bundesliga,Juventus,Liverpool,0,3
3.97,4.13,1.67,1,2016-02-25,ENG PL,Real Madrid,Liverpool,5,3
4.23,4.26,4.67,1,2022-09-14,ITA Serie A,Barcelona,Chelsea,4,0
4.45,5.06,2.87,1,2018-03-02,SPA LaLiga,Barcelona,Juventus,5,2
4.71,3.85,1.76,2,2021-01-22,SPA LaLiga,Bayern,Barcelona,0,3
2.85,4.68,5.24,X,2012-05-10,GER Bundesliga,PSG,Bayern,4,4
3.35,3.25,2.73,1,2023-06-28,GER Bundesliga,Inter,Barcelona,1,0
4.33,2.63,4.86,1,2023-10-09,SPA LaLiga,PSG,Manchester City,3,2
1.24,4.42,3.51,X,2019-06-14,GER Bundesliga,Juventus,Real Madrid,4,4
4.11,3.5,5.84,2,2022-11-29,GER Bundesliga,Juventus,Liverpool,3,4
4.86,4.84,1.54,1,2018-03-21,FRA Ligue 1,Inter,Real Madrid,5,0
1.59,4.69,1.65,2,2020-01-10,FRA Ligue 1,Juventus,Bayern,0,4
3.63,2.78,2.24,X,2019-05-31,GER Bundesliga,Chelsea,Milan,3,3
3.9,5.01,4.91,2,2012-04-15,SPA LaLiga,Real Madrid,Barcelona,0,4
1.74,4.65,4.84,1,2024-07-28,ITA Serie A,Liverpool,PSG,2,1
4.29,3.2,1.7,1,2015-08-21,SPA LaLiga,Inter,PSG,5,1
1.35,3.5,1.54,1,2010-09-09,ENG PL,Chelsea,Real Madrid,2,0
2.34,3.89,2.48,X,2020-03-08,FRA Ligue 1,Inter,Manchester City,4,4
2.16,5.49,2.91,X,2022-05-27,ENG PL,Bayern,Liverpool,0,0
3.76,4.48,2.14,2,2012-12-27,SPA LaLiga,Barcelona,Liverpool,2,4
4.7,3.71,5.47,2,2017-07-13,FRA Ligue 1,Bayern,Milan,0,5
4.31,3.78,5.94,2,2015-12-06,ENG PL,Inter,Chelsea,0,3
1.37,4.88,2.76,1,2018-04-09,ITA Serie A,Juventus,Manchester City,4,0
3.57,4.9,1.63,2,2021-05-17,ENG PL,Bayern,Inter,3,5
4.48,4.68,5.71,2,2010-09-07,ITA Serie A,Milan,Liverpool,2,3
1.66,3.44,3.68,1,2012-12-24,FRA Ligue 1,Chelsea,Real Madrid,5,0
2.88,4.29,4.91,2,2016-02-19,SPA LaLiga,Real Madrid,Chelsea,0,1
3.7,4.23,5.7,1,2023-05-25,FRA Ligue 1,PSG,Liverpool,5,0
2.24,5.44,5.22,1,2013-07-28,GER Bundesliga,Liverpool,Inter,1,0
4.12,4.09,4.09,2,2016-09-29,FRA Ligue 1,Juventus,Bayern,2,5
1.33,3.75,4.02,2,2019-08-14,SPA LaLiga,PSG,Real Madrid,0,1
1.43,3.47,5.8,2,2011-12-21,SPA LaLiga,Real Madrid,Manchester City,0,5
2.63,3.2,3.55,2,2011-03-29,ITA Serie A,Bayern,Barcelona,3,5
2.49,5.12,3.58,2,2013-04-22,FRA Ligue 1,Inter,Chelsea,2,5
1.54,4.19,2.37,1,2018-08-27,SPA LaLiga,Chelsea,Bayern,4,0
3.99,2.76,2.45,1,2011-06-17,GER Bundesliga,Manchester City,Milan,4,3
2.66,4.72,2.29,X,2020-04-23,FRA Ligue 1,Milan,Inter,5,5
2.36,4.65,4.06,2,2023-03-04,SPA LaLiga,Milan,Real Madrid,0,5
1.33,4.23,2.85,2,2016-04-07,ITA Serie A,Manchester City,Inter,0,4
4.97,5.17,2.89,1,2011-03-23,FRA Ligue 1,Bayern,Liverpool,4,0
4.15,3.42,1.84,1,2018-02-24,ITA Serie A,Real Madrid,Manchester City,5,4
4.25,2.95,3.04,1,2020-08-06,ITA Serie A,Chelsea,Manchester City,1,0
3.66,3.22,1.94,1,2023-09-23,ITA Serie A,Liverpool,Milan,4,0
2.62,5.18,4.31,1,2021-04-10,FRA Ligue 1,PSG,Milan,3,0
3.74,4.95,3.0,2,2011-06-08,FRA Ligue 1,Chelsea,Inter,0,1
1.55,4.13,5.91,1,2011-02-10,SPA LaLiga,Juventus,Barcelona,4,1
4.99,3.62,4.74,X,2012-07-20,FRA Ligue 1,Liverpool,Barcelona,4,4
4.86,5.01,2.99,2,2024-01-29,ENG PL,Barcelona,Real Madrid,0,5
1.85,4.53,4.7,2,2022-08-11,ENG PL,Milan,Manchester City,0,2
4.13,4.29,5.4,1,2017-06-13,FRA Ligue 1,Liverpool,Inter,3,2
4.52,4.42,5.98,2,2016-11-15,ITA Serie A,Juventus,Barcelona,3,5
3.49,3.72,4.85,X,2015-06-01,FRA Ligue 1,Chelsea,Bayern,2,2
1.75,5.07,4.49,2,2016-01-16,SPA LaLiga,PSG,Inter,4,5
1.99,2.88,3.04,1,2014-06-19,FRA Ligue 1,Milan,Liverpool,3,1
1.74,2.79,2.84,1,2023-02-26,SPA LaLiga,Inter,Liverpool,4,2
1.79,5.15,2.58,1,2016-04-23,ITA Serie A,Liverpool,PSG,5,2
3.72,2.51,2.33,1,2012-09-03,ENG PL,Juventus,Barcelona,5,2
2.28,4.51,1.72,X,2013-07-04,GER Bundesliga,Chelsea,Barcelona,2,2
4.06,3.06,5.78,2,2024-07-28,ENG PL,Barcelona,Liverpool,4,5
2.92,3.12,3.1,1,2019-04-24,FRA Ligue 1,Juventus,Liverpool,5,4
4.02,3.05,5.1,1,2013-08-20,ITA Serie A,PSG,Chelsea,4,0
1.69,3.22,4.83,2,2022-03-30,ITA Serie A,PSG,Barcelona,2,3
4.76,5.32,2.46,2,2016-05-18,FRA Ligue 1,Milan,Liverpool,1,2
2.26,4.95,3.68,2,2010-09-06,ENG PL,Bayern,Real Madrid,0,3
4.2,3.06,4.72,2,2017-09-01,ITA Serie A,PSG,Barcelona,0,2
1.91,5.41,4.89,2,2012-04-29,ITA Serie A,Chelsea,Milan,4,5
4.69,3.28,3.78,X,2023-10-10,ENG PL,Milan,Inter,0,0
4.43,2.66,3.12,2,2010-01-20,ITA Serie A,Juventus,Milan,3,4
4.52,2.62,4.37,X,2012-05-28,GER Bundesliga,Real Madrid,Chelsea,1,1
4.43,4.73,5.57,2,2024-02-04,ENG PL,Inter,Milan,0,1
3.12,2.82,5.72,1,2019-04-23,SPA LaLiga,Manchester City,Milan,4,3
4.94,3.7,2.09,2,2016-03-03,FRA Ligue 1,Liverpool,Real Madrid,1,3
1.73,4.11,2.22,X,2020-03-31,ENG PL,Inter,Liverpool,0,0
3.74,3.39,5.7,2,2010-05-27,ENG PL,Bayern,Juventus,2,5
2.4,3.17,3.27,X,2020-12-10,SPA LaLiga,Juventus,Manchester City,5,5
3.72,3.63,5.26,2,2011-12-07,FRA Ligue 1,Manchester City,Inter,0,3
2.23,4.53,2.52,1,2011-09-04,FRA Ligue 1,Liverpool,Barcelona,3,0
3.4,2.72,4.71,2,2022-01-16,FRA Ligue 1,Barcelona,Liverpool,1,3
1.43,4.89,5.73,X,2016-10-14,SPA LaLiga,Manchester City,Inter,0,0
2.05,4.99,4.25,2,2013-03-23,SPA LaLiga,Manchester City,Chelsea,0,1
1.45,3.15,3.77,X,2012-06-11,ITA Serie A,Inter,Manchester City,4,4
1.77,4.03,3.29,2,2023-12-10,ENG PL,Inter,Bayern,0,2
4.1,3.63,1.69,1,2015-08-06,ENG PL,Real Madrid,Juventus,4,1
1.31,5.13,3.52,2,2010-01-02,ENG PL,Manchester City,Real Madrid,1,4
4.31,4.11,5.25,X,2017-08-10,GER Bundesliga,Bayern,Milan,3,3
4.7,3.98,3.95,1,2017-10-26,FRA Ligue 1,Inter,Bayern,5,1
1.73,4.89,5.76,2,2018-04-28,GER Bundesliga,Bayern,Inter,0,4
1.67,5.04,1.94,1,2020-06-14,FRA Ligue 1,Real Madrid,PSG,3,2
3.07,3.64,5.62,2,2021-12-09,FRA Ligue 1,PSG,Liverpool,4,5
1.91,3.11,1.56,1,2018-03-05,ITA Serie A,Chelsea,Bayern,2,1
2.87,3.66,4.52,1,2012-03-31,GER Bundesliga,Juventus,Manchester City,3,0
4.76,3.72,2.33,2,2015-01-06,GER Bundesliga,Milan,Liverpool,1,2
4.13,2.99,4.57,2,2021-07-09,ENG PL,Juventus,Milan,1,2
2.47,4.07,2.85,2,2023-04-20,GER Bundesliga,Real Madrid,Barcelona,0,5
3.17,3.94,4.0,2,2013-01-20,GER Bundesliga,Manchester City,PSG,0,1
1.23,5.27,5.03,2,2015-06-11,GER Bundesliga,Milan,Real Madrid,4,5
3.21,4.59,4.57,1,2012-08-25,ITA Serie A,Chelsea,Milan,3,0
2.96,4.77,1.52,1,2010-06-10,SPA LaLiga,Chelsea,Juventus,4,2
4.37,5.09,4.3,1,2015-12-03,GER Bundesliga,Chelsea,Barcelona,5,3
4.75,2.89,4.19,2,2019-01-08,FRA Ligue 1,Liverpool,Juventus,0,2
4.48,4.54,3.19,2,2021-03-29,ITA Serie A,Real Madrid,Bayern,1,2
4.72,2.84,5.63,X,2021-06-27,GER Bundesliga,Inter,Barcelona,1,1
2.52,4.03,3.08,X,2014-08-07,GER Bundesliga,Bayern,Chelsea,1,1
1.7,3.02,5.16,X,2015-09-14,ITA Serie A,Chelsea,Barcelona,2,2
3.31,4.2,3.77,X,2019-05-16,SPA LaLiga,Bayern,Real Madrid,0,0
3.25,4.25,5.93,2,2019-08-31,ITA Serie A,Barcelona,Real Madrid,1,2
1.49,4.0,5.96,1,2022-04-18,ITA Serie A,Liverpool,Bayern,2,1
3.33,5.03,5.45,2,2020-09-17,FRA Ligue 1,Milan,Manchester City,1,3
2.21,5.36,2.88,2,2023-09-27,SPA LaLiga,Liverpool,Real Madrid,3,4
2.02,5.29,1.93,2,2011-06-22,GER Bundesliga,Real Madrid,Chelsea,1,2
1.9,4.94,5.54,1,2014-07-22,GER Bundesliga,Bayern,Real Madrid,4,3
3.56,2.99,3.32,2,2022-03-04,FRA Ligue 1,Liverpool,Juventus,4,5
4.8,4.99,3.68,1,2012-05-10,ITA Serie A,Real Madrid,Manchester City,4,1
4.5,4.94,1.52,2,2014-12-17,ENG PL,Chelsea,Real Madrid,2,4
4.57,3.87,2.15,2,2017-04-17,GER Bundesliga,PSG,Real Madrid,1,2
4.49,4.22,2.12,X,2017-11-05,GER Bundesliga,PSG,Barcelona,5,5
2.4,4.54,4.05,1,2016-03-02,FRA Ligue 1,Chelsea,Liverpool,5,0
2.31,3.17,3.2,2,2011-12-24,ENG PL,PSG,Real Madrid,0,2
2.3,3.81,2.6,X,2017-04-18,ITA Serie A,PSG,Real Madrid,1,1
2.46,4.83,4.74,X,2013-06-12,ENG PL,Milan,Real Madrid,5,5
2.43,4.03,3.78,X,2023-11-14,GER Bundesliga,Barcelona,Liverpool,4,4
3.11,3.33,2.59,1,2014-11-10,FRA Ligue 1,Chelsea,Liverpool,4,0
1.54,3.6,5.74,1,2017-10-07,ENG PL,Manchester City,Liverpool,4,2
3.46,4.36,5.26,2,2015-02-12,FRA Ligue 1,Manchester City,PSG,0,3
2.44,5.0,4.38,1,2012-11-10,FRA Ligue 1,Bayern,Liverpool,5,0
1.25,4.45,1.74,1,2024-06-10,ENG PL,Juventus,Bayern,5,2
3.91,3.8,2.34,2,2014-03-10,ITA Serie A,Barcelona,Bayern,1,4
3.9,4.88,3.76,1,2019-03-27,GER Bundesliga,Real Madrid,PSG,3,1
2.44,4.37,1.71,X,2016-12-09,GER Bundesliga,Real Madrid,Chelsea,0,0
3.87,4.75,2.39,X,2017-06-02,ENG PL,Juventus,Barcelona,4,4
2.53,3.62,5.35,1,2020-10-27,ENG PL,Juventus,Real Madrid,3,0
4.56,3.05,2.54,1,2021-08-21,ITA Serie A,Inter,Manchester City,5,4
3.33,4.93,3.69,2,2011-05-29,ENG PL,Bayern,Manchester City,0,4
4.39,5.45,3.08,1,2024-04-13,GER Bundesliga,Barcelona,PSG,1,0
2.72,3.2,4.73,2,2010-01-08,SPA LaLiga,Manchester City,Inter,0,4
2.4,5.3,2.49,2,2018-03-10,FRA Ligue 1,Chelsea,Milan,1,4
3.21,4.04,2.47,2,2024-06-14,FRA Ligue 1,Barcelona,Liverpool,2,4
2.53,2.91,1.65,2,2014-08-02,SPA LaLiga,Barcelona,Liverpool,1,5
1.88,4.47,4.12,2,2011-11-30,SPA LaLiga,Barcelona,Manchester City,3,4
3.9,4.39,1.89,2,2015-04-29,ENG PL,PSG,Liverpool,2,4
4.83,3.92,4.21,1,2014-03-13,FRA Ligue 1,Milan,Juventus,2,0
2.54,3.26,2.57,2,2011-11-30,SPA LaLiga,Milan,Bayern,1,2
2.41,2.6,2.15,2,2015-06-19,GER Bundesliga,Liverpool,Manchester City,2,4
2.29,3.55,4.38,1,2024-04-24,GER Bundesliga,Milan,Real Madrid,4,0
2.65,5.25,2.28,X,2022-11-25,SPA LaLiga,Chelsea,Inter,1,1
3.99,4.07,5.08,2,2015-04-14,FRA Ligue 1,Milan,Barcelona,2,5
2.54,3.96,3.61,1,2013-07-29,ENG PL,PSG,Juventus,4,3
3.3,2.82,4.23,1,2018-01-19,ENG PL,Liverpool,Manchester City,5,3
4.08,4.06,5.89,2,2018-07-14,SPA LaLiga,Liverpool,Chelsea,4,5
2.43,3.61,4.88,1,2010-04-14,FRA Ligue 1,Chelsea,PSG,1,0
2.97,5.28,1.73,2,2023-02-24,SPA LaLiga,Juventus,PSG,4,5
4.56,4.97,1.99,X,2018-03-09,GER Bundesliga,Liverpool,Inter,5,5
3.37,4.4,3.99,2,2015-04-29,ENG PL,PSG,Manchester City,4,5
2.07,4.68,4.36,1,2011-02-27,SPA LaLiga,Milan,Real Madrid,5,1
4.14,4.23,5.83,2,2012-06-01,FRA Ligue 1,Liverpool,Juventus,3,5
2.12,4.0,5.79,1,2020-07-10,ITA Serie A,Inter,Juventus,5,0
2.31,3.8,5.87,1,2018-03-18,ITA Serie A,Juventus,Real Madrid,4,2
3.62,2.58,4.98,2,2013-09-07,ENG PL,PSG,Inter,2,5
3.7,3.43,2.73,2,2020-11-15,ENG PL,Inter,Chelsea,2,4
2.38,3.95,5.04,2,2015-03-27,ITA Serie A,Milan,PSG,0,2
3.97,4.42,3.6,2,2017-05-10,ENG PL,Bayern,Milan,3,5
4.59,4.33,3.92,1,2023-07-12,ENG PL,PSG,Barcelona,5,1
4.36,3.65,4.29,1,2024-10-13,ENG PL,Manchester City,Chelsea,1,0
4.67,4.29,3.02,2,2011-03-01,ITA Serie A,Barcelona,Real Madrid,2,4
3.61,5.13,5.72,2,2016-04-13,FRA Ligue 1,Juventus,Barcelona,0,1
4.36,2.54,3.81,1,2016-08-03,ENG PL,Manchester City,Milan,5,2
2.14,2.6,3.35,1,2022-02-28,FRA Ligue 1,Milan,Chelsea,2,1
4.73,2.6,4.96,2,2012-02-10,GER Bundesliga,Liverpool,Barcelona,0,3
4.47,4.74,1.68,1,2016-11-25,ENG PL,Milan,Inter,1,0
1.73,3.9,2.64,X,2012-05-20,ENG PL,PSG,Inter,4,4
3.19,5.29,5.0,1,2015-09-24,FRA Ligue 1,Real Madrid,Liverpool,5,2
2.64,3.58,5.26,1,2024-02-04,ENG PL,Milan,Liverpool,4,3
3.29,3.48,5.33,X,2024-11-26,GER Bundesliga,PSG,Bayern,0,0
3.75,4.35,2.88,1,2020-08-17,GER Bundesliga,Real Madrid,Bayern,1,0
2.7,2.62,2.5,X,2017-02-05,GER Bundesliga,Juventus,Chelsea,5,5
1.78,2.69,1.6,1,2024-02-23,GER Bundesliga,Milan,Barcelona,5,3
3.91,4.85,4.87,2,2011-03-04,FRA Ligue 1,Barcelona,Juventus,0,4
4.79,4.0,3.18,1,2022-01-05,ENG PL,Real Madrid,Inter,2,1
1.27,5.16,3.58,X,2010-09-10,SPA LaLiga,Inter,Barcelona,1,1
3.23,3.08,1.59,2,2023-09-08,GER Bundesliga,Chelsea,Inter,1,5
3.62,4.45,5.72,2,2012-01-06,FRA Ligue 1,Barcelona,Real Madrid,0,3
1.99,3.19,4.36,2,2019-03-08,ENG PL,PSG,Bayern,0,4
4.65,5.48,2.58,1,2010-11-23,SPA LaLiga,Juventus,Manchester City,5,1
3.72,3.46,1.77,1,2023-04-11,GER Bundesliga,Juventus,Manchester City,5,3
1.84,3.33,1.53,1,2020-02-10,SPA LaLiga,Chelsea,Manchester City,4,3
3.74,5.02,4.99,2,2013-02-01,FRA Ligue 1,Liverpool,Bayern,0,1
4.16,4.73,2.82,X,2024-07-10,ITA Serie A,Juventus,Liverpool,2,2
2.34,2.57,2.35,2,2010-09-27,ITA Serie A,Barcelona,Liverpool,0,5
3.52,3.44,4.03,2,2017-03-16,ITA Serie A,Manchester City,Milan,0,4
4.95,4.62,4.49,1,2021-01-13,ENG PL,Manchester City,Bayern,5,2
3.31,4.13,3.59,2,2018-05-30,SPA LaLiga,Barcelona,Milan,3,5
2.72,4.69,3.58,2,2012-03-21,FRA Ligue 1,Chelsea,Liverpool,0,3
3.71,4.39,1.82,2,2016-10-08,GER Bundesliga,Inter,Chelsea,1,5
3.51,5.39,4.91,1,2010-08-30,FRA Ligue 1,Barcelona,PSG,4,1
4.23,3.47,4.52,1,2018-07-28,GER Bundesliga,Liverpool,Milan,3,1
4.99,4.33,2.61,1,2021-09-17,GER Bundesliga,Liverpool,Chelsea,3,1
1.52,3.61,5.64,2,2023-07-05,SPA LaLiga,Milan,Liverpool,1,2
1.84,3.29,3.7,2,2018-09-24,ENG PL,Manchester City,Milan,3,5
2.22,3.97,5.92,2,2014-12-18,FRA Ligue 1,Barcelona,Real Madrid,3,4
3.74,3.09,5.41,1,2011-03-20,ENG PL,Real Madrid,Chelsea,4,0
1.49,3.82,2.37,X,2016-05-05,ITA Serie A,Juventus,PSG,1,1
1.98,2.77,5.84,1,2022-07-14,FRA Ligue 1,Barcelona,Juventus,5,3
1.36,3.08,4.54,1,2012-08-24,GER Bundesliga,Manchester City,Inter,3,0
2.3,3.22,3.15,X,2012-10-10,ENG PL,Inter,PSG,2,2
2.52,3.09,4.63,2,2013-10-28,ENG PL,Bayern,Chelsea,2,4
3.48,4.87,4.69,2,2010-04-19,SPA LaLiga,Chelsea,Barcelona,1,4
3.87,4.3,1.69,X,2017-03-22,GER Bundesliga,Manchester City,Liverpool,3,3
2.35,3.11,1.87,2,2018-03-25,FRA Ligue 1,Barcelona,Bayern,0,1
2.3,3.19,4.37,1,2013-08-28,FRA Ligue 1,Inter,Juventus,4,3
1.27,3.91,1.59,2,2016-09-23,ITA Serie A,Real Madrid,Chelsea,0,4
2.12,4.51,4.51,2,2016-09-01,FRA Ligue 1,Inter,Juventus,0,4
1.82,3.7,3.03,2,2019-03-07,GER Bundesliga,Barcelona,Juventus,3,5
2.35,4.37,5.87,1,2024-05-16,FRA Ligue 1,Liverpool,Real Madrid,5,4
2.7,4.02,1.71,1,2024-03-02,SPA LaLiga,Barcelona,Juventus,3,0
4.55,2.7,4.44,X,2024-11-10,SPA LaLiga,Real Madrid,PSG,5,5
3.49,4.57,2.53,X,2021-03-03,FRA Ligue 1,Barcelona,Juventus,4,4
4.39,4.94,1.83,2,2013-05-09,ENG PL,Juventus,Barcelona,2,4
1.69,2.6,1.57,X,2016-09-13,SPA LaLiga,Milan,Bayern,4,4
